clustID,cluster_confidence,uniprotACCs
huMAP3_00253.1,1,O43399 Q06546 Q06547 Q96J77
huMAP3_00254.1,1,O60393 Q5T5M9
huMAP3_00255.1,1,O95749 Q96I27
huMAP3_00256.1,1,Q8TAS1 Q9HBH7
huMAP3_00257.1,1,P08572 P53420 Q02809 Q05707 Q14031
huMAP3_00258.1,1,P78346 Q16206 Q8TC92 Q969H6
huMAP3_00259.1,1,O00398 O43156 Q96M95
huMAP3_00260.1,1,O75063 Q6ICH7 Q9NPZ5
huMAP3_00261.1,1,P25106 P25705 P48047 P56134 Q96IX5
huMAP3_00262.1,1,P35754 Q6UX39
huMAP3_00263.1,1,O15554 P0C7V8
huMAP3_00264.1,1,Q0GE19 Q7Z388
huMAP3_00265.1,1,P84098 Q15646
huMAP3_00266.1,1,O60895 Q86VD7
huMAP3_00267.1,1,O94979 P55735 Q96JE7 Q96KG9
huMAP3_00268.1,1,Q9NP99 Q9Y6A9
huMAP3_00269.1,1,Q9BQJ4 Q9NRA2
huMAP3_00270.1,1,P78329 P98187 Q9HCS2
huMAP3_00271.1,1,Q96DY2 Q9H095
huMAP3_00272.1,1,P98179 Q9Y2Y9
huMAP3_00273.1,1,A0AV02 Q5K4L6
huMAP3_00274.1,1,O75123 P31321
huMAP3_00275.1,1,P20849 Q6QEF8 Q9BZL4
huMAP3_00276.1,1,P22670 P48378
huMAP3_00277.1,1,Q14129 Q8N1G1
huMAP3_00278.1,1,Q16799 Q92630
huMAP3_00279.1,1,P52952 Q6ZUM4 Q8IWW6 Q9BYB0 Q9ULL5
huMAP3_00280.1,1,Q7L7V1 Q96RS6
huMAP3_00281.1,1,P81274 Q1MX18
huMAP3_00282.1,1,Q86XL3 Q86YA3
huMAP3_00283.1,1,O14920 O15111 Q99558 Q9Y6K9
huMAP3_00284.1,1,Q9UJU5 Q9Y2W3
huMAP3_00285.1,1,Q8IXS8 Q96LR7
huMAP3_00286.1,1,O43572 Q12889
huMAP3_00287.1,1,Q5GLZ8 Q6P1W5
huMAP3_00288.1,1,O00268 P21675 P49848 Q12962 Q15542 Q15543 Q15544 Q15545 Q16514 Q16594 Q5H9L4 Q5VWG9 Q6P1X5 Q7Z7C8 Q92750 Q9BR10 Q9HBM6
huMAP3_00289.1,1,Q6PIZ9 Q96LM6
huMAP3_00290.1,1,Q6NXT4 Q8TAD4 Q9Y5Z9
huMAP3_00291.1,1,Q5TB80 Q6ZWB6
huMAP3_00292.1,1,Q14011 Q8ND56 Q99873 Q9NR22
huMAP3_00293.1,1,Q12841 Q13491 Q8IZF4 Q9H6D3
huMAP3_00294.1,1,P53365 P53367 Q9UG22
huMAP3_00295.1,1,Q6XPS3 Q9C0F1
huMAP3_00296.1,1,P08118 P34096
huMAP3_00297.1,1,Q8WVS4 Q96EX3
huMAP3_00298.1,1,Q6PI78 Q96CE8
huMAP3_00299.1,1,Q86VM9 Q9BXP5
huMAP3_00300.1,1,Q14457 Q6ZNE5 Q8NEB9 Q92622 Q96F24 Q99570 Q9H714 Q9P2Y5
huMAP3_00301.1,1,Q86UB9 Q9NY59
