Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
LoVo	SIDM00839	SIDM00839;LoVo	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
COLO-783	SIDM00955	SIDM00955;COLO-783	Skin	Melanoma	
CPC-N	SIDM00953	SIDM00953;CPC-N	Lung	Small Cell Lung Carcinoma	
HCC1500	SIDM00879	SIDM00879;HCC1500	Breast	Breast Carcinoma	Ductal Breast Carcinoma
JHOS-3	SIDM00304	SIDM00304;JHOS-3	Ovary	Ovarian Carcinoma	Ovarian serous adenocarcinoma
CCK-81	SIDM00487	SIDM00487;CCK-81	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
MDA-MB-415	SIDM00630	SIDM00630;MDA-MB-415	Breast	Breast Carcinoma	Breast adenocarcinoma
MZ7-mel	SIDM00516	SIDM00516;MZ7-mel	Skin	Melanoma	
NCC021	SIDM00232	SIDM00232;NCC021	Kidney	Kidney Carcinoma	
SK-MEL-3	SIDM01105	SIDM01105;SK-MEL-3	Skin	Melanoma	Cutaneous melanoma
KYSE-270	SIDM01029	SIDM01029;KYSE-270	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
COR-L321	SIDM00507	SIDM00507;COR-L321	Lung	Other Solid Carcinomas	Lung Carcinoma
ROS-50	SIDM00415	SIDM00415;ROS-50	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
Hs-940-T	SIDM00662	SIDM00662;Hs-940-T	Skin	Melanoma	Cutaneous melanoma
OVK-18	SIDM00238	SIDM00238;OVK-18	Ovary	Ovarian Carcinoma	Ovarian endometrioid adenocarcinoma
NCI-H1355	SIDM00645	SIDM00645;NCI-H1355	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
DMS-79	SIDM00524	SIDM00524;DMS-79	Lung	Small Cell Lung Carcinoma	
COR-L303	SIDM00510	SIDM00510;COR-L303	Lung	Small Cell Lung Carcinoma	
BICR31	SIDM00078	SIDM00078;BICR31	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
A4-Fuk	SIDM00502	SIDM00502;A4-Fuk	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Adult B acute lymphoblastic leukemia
UWB1.289	SIDM00815	SIDM00815;UWB1.289	Ovary	Ovarian Carcinoma	
NCI-H740	SIDM01118	SIDM01118;NCI-H740	Lung	Small Cell Lung Carcinoma	
LB647-SCLC	SIDM00183	SIDM00183;LB647-SCLC	Lung	Small Cell Lung Carcinoma	
NCI-H2291	SIDM00728	SIDM00728;NCI-H2291	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
MOG-G-UVW	SIDM00504	SIDM00504;MOG-G-UVW	Central Nervous System	Glioma	Low Grade Glioma
NCI-H2227	SIDM00730	SIDM00730;NCI-H2227	Lung	Small Cell Lung Carcinoma	
OAW-42	SIDM00480	SIDM00480;OAW-42	Ovary	Ovarian Carcinoma	Ovarian Cystadenocarcinoma
IST-SL1	SIDM00223	SIDM00223;IST-SL1	Lung	Small Cell Lung Carcinoma	
NCI-H1734	SIDM00739	SIDM00739;NCI-H1734	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SNU-283	SIDM00215	SIDM00215;SNU-283	Large Intestine	Colorectal Carcinoma	Rectal adenocarcinoma
BONNA-12	SIDM00984	SIDM00984;BONNA-12	Haematopoietic and Lymphoid	Hairy Cell Leukemia	Hairy Cell Leukemia
U-CH2	SIDM01185	SIDM01185;U-CH2	Other tissue	Other Solid Carcinomas	Sacral chordoma
NCI-H250	SIDM00721	SIDM00721;NCI-H250	Lung	Small Cell Lung Carcinoma	
NCI-H345	SIDM00719	SIDM00719;NCI-H345	Lung	Small Cell Lung Carcinoma	
RCM-1	SIDM00359	SIDM00359;RCM-1	Large Intestine	Colorectal Carcinoma	Rectal adenocarcinoma
SW1116	SIDM00835	SIDM00835;SW1116	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
COR-L95	SIDM00521	SIDM00521;COR-L95	Lung	Small Cell Lung Carcinoma	
